0,1,cosine
Rebecca,career,1.0271593969235626
Rebecca,family,0.9347016212911876
Rebecca,male,1.0462512704334948
Rebecca,female,0.9492687925520359
Michelle,career,0.9982561956647679
Michelle,family,0.930873644
Michelle,male,0.9842022884356545
Michelle,female,0.9526242843983566
Emily,career,0.9808970052839755
Emily,family,0.8831964748306385
Emily,male,0.9655410121483357
Emily,female,0.9116593845122943
Julia,career,0.9754893136296485
Julia,family,0.8930550123902379
Julia,male,0.9548620232655067
Julia,female,0.9501351293784255
Anna,career,1.006525949930416
Anna,family,0.919744343
Anna,male,0.9991427568213705
Anna,female,0.9362959453720674
Ben,career,0.887627799
Ben,family,0.9199581736720734
Ben,male,0.8347064087747391
Ben,female,0.9822011454532122
Paul,career,0.9910171972404234
Paul,family,0.9078820083673199
Paul,male,0.9970690195760363
Paul,female,0.94900182
Daniel,career,0.9476729660991823
Daniel,family,0.880843273
Daniel,male,0.9024492213573573
Daniel,female,0.9518349413979497
John,career,1.0346685961172652
John,family,0.9258307529220079
John,male,1.0433287789909365
John,female,0.944520515
Jeffrey,career,0.9650571795725679
Jeffrey,family,0.8979428671920514
Jeffrey,male,0.9667092567998339
Jeffrey,female,0.9492123794876599
career,career,0
career,family,0.5225258059035904
career,male,0.6352534369638401
career,female,0.6403563767057512
corporation,career,0.5116503421365088
corporation,family,0.5582663309815797
corporation,male,0.5426078691221661
corporation,female,0.7060425251536554
salary,career,0.5520994978386857
salary,family,0.6623101867909396
salary,male,0.6632446331389181
salary,female,0.7506517473584597
office,career,0.5380545693545961
office,family,0.5735756754044298
office,male,0.5663880358114977
office,female,0.6858733646782065
professional,career,0.5214262730478264
professional,family,0.5968492170228477
professional,male,0.6242933533359435
professional,female,0.5492334105064972
management,career,0.4551642264398891
management,family,0.548384103
management,male,0.6437398392083823
management,female,0.7233049073384952
business,career,0.41295926783671655
business,family,0.5095873255442103
business,male,0.6884275222968096
business,female,0.6391169362347668
wedding,career,0.5781882195478361
wedding,family,0.5860436107140969
wedding,male,0.680424376
wedding,female,0.6793511440677885
marriage,career,0.4822359349508474
marriage,family,0.5029874349637242
marriage,male,0.5955779454467842
marriage,female,0.6813857969068904
parents,career,0.5611762408384096
parents,family,0.5124594772126135
parents,male,0.5618256952668417
parents,female,0.703326727
relatives,career,0.6587946554010121
relatives,family,0.5753923100855065
relatives,male,0.6362287014472017
relatives,female,0.7595031286409424
family,career,0.5225258059035904
family,family,0
family,male,0.6210822183016644
family,female,0.5868967474176174
home,career,0.6713430260244102
home,family,0.7141389625956427
home,male,0.7034203629564532
home,female,0.7884655615428873
children,career,0.5709356520776427
children,family,0.5184480198070747
children,male,0.5725203719023761
children,female,0.6754907942458677
