,0,1,euclidean
0,rebecca,career,81.30084157536203
1,rebecca,family,79.04365991741408
2,rebecca,male,79.86102166654469
3,rebecca,female,75.5255316726389
4,michelle,career,79.61839849732253
5,michelle,family,77.32885715730812
6,michelle,male,76.30368580176932
7,michelle,female,74.14237578107779
8,emily,career,73.93991408225563
9,emily,family,71.26238519320715
10,emily,male,75.96309654259727
11,emily,female,72.16292571931965
12,julia,career,75.95038000109525
13,julia,family,72.19560962510437
14,julia,male,74.94884614179621
15,julia,female,70.78259835694642
16,anna,career,81.98908987138535
17,anna,family,79.49942760808753
18,anna,male,79.40464441056267
19,anna,female,75.58155752437268
20,ben,career,81.22847547766249
21,ben,family,79.18674439823491
22,ben,male,77.72575492409055
23,ben,female,78.25209406657089
24,paul,career,77.65926842697966
25,paul,family,76.51094326334456
26,paul,male,77.39019212272893
27,paul,female,74.07675575783058
28,daniel,career,78.14580020278143
29,daniel,family,75.18019080181082
30,daniel,male,77.65437971116567
31,daniel,female,74.631466700455
32,john,career,77.21088588814102
33,john,family,75.32668212449374
34,john,male,77.90045273159673
35,john,female,73.20490560307891
36,jeffrey,career,81.21068745143282
37,jeffrey,family,78.11502217943891
38,jeffrey,male,80.969427948994
39,jeffrey,female,76.80764943725129
40,career,career,0.0
41,career,family,62.52258071503993
42,career,male,76.26874832211679
43,career,female,67.69997754607921
44,corporation,career,65.28395478208107
45,corporation,family,61.208564413550675
46,corporation,male,73.76491953511254
47,corporation,female,62.808218765447805
48,salary,career,67.28481058265206
49,salary,family,66.98662491930416
50,salary,male,79.64547593707306
51,salary,female,71.16284627874776
52,office,career,67.0162954966723
53,office,family,66.21513099898914
54,office,male,76.16198177185557
55,office,female,68.93369521984414
56,professional,career,62.099926883167576
57,professional,family,63.288101662510314
58,professional,male,71.6396077542444
59,professional,female,59.211371482226745
60,management,career,61.20557002734655
61,management,family,60.34174538175168
62,management,male,76.02218233133028
63,management,female,65.77125809309088
64,business,career,60.479047824004795
65,business,family,63.30459148816678
66,business,male,77.18193089959169
67,business,female,68.31560895965033
68,wedding,career,66.66414773292102
69,wedding,family,64.0216162995084
70,wedding,male,76.6316959327047
71,wedding,female,67.81477996413568
72,marriage,career,60.16763994807385
73,marriage,family,59.491331565399555
74,marriage,male,72.24317873547785
75,marriage,female,64.75726993132851
76,parents,career,63.980153404680635
77,parents,family,59.6545336945006
78,parents,male,75.53918012625549
79,parents,female,64.79190952958743
80,relatives,career,64.54003781557986
81,relatives,family,53.812313153180945
82,relatives,male,72.15112462731153
83,relatives,female,59.982019894085376
84,family,career,62.52258071503993
85,family,family,0.0
86,family,male,74.6228942997342
87,family,female,63.34152679553072
88,home,career,68.00248558294655
89,home,family,66.05796965035887
90,home,male,76.79611769430025
91,home,female,70.41103335053867
92,children,career,62.136503843845716
93,children,family,55.38859238783572
94,children,male,71.17943020827872
95,children,female,58.0986437918729
